assetId,category,family,aspectRatio,prompt,negativePrompt,referenceImages,pasteReady,notes
boiler-hand,character,foundry,3:4,"Bust-to-waist portrait of a weathered boiler-room worker, eyes fixed on a brass pressure gauge just out of frame, steam curling past one shoulder, calm and practised expression. Warm brass-and-copper key light with a hot amber glow, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of pipework and rivets.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-ada-lovelace.webp,"Bust-to-waist portrait of a weathered boiler-room worker, eyes fixed on a brass pressure gauge just out of frame, steam curling past one shoulder, calm and practised expression. Warm brass-and-copper key light with a hot amber glow, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of pipework and rivets.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Reads the pressure gauge the way other men read the weather."""
riveter,character,foundry,3:4,"Bust-to-waist, three-quarter portrait of a stocky riveter mid-swing, rivet gun braced against a brass hull plate, ear turned slightly away from the impact out of old habit, proud half-grin. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a workshop floor.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-ada-lovelace.webp,"Bust-to-waist, three-quarter portrait of a stocky riveter mid-swing, rivet gun braced against a brass hull plate, ear turned slightly away from the impact out of old habit, proud half-grin. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a workshop floor.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Deafened in one ear, twenty years back, and proud of it."""
brass-cog,gadget,foundry,3:4,"Object study of a single well-worn brass cog resting on an oily workbench cloth beside a scatter of small tools, shallow depth of field, no hands in frame. Fine engineering detail on the teeth. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg,"Object study of a single well-worn brass cog resting on an oily workbench cloth beside a scatter of small tools, shallow depth of field, no hands in frame. Fine engineering detail on the teeth. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Small enough to lose, important enough that you don't."""
steam-hammer,character,foundry,3:4,"Bust-to-waist portrait of a massive, calm steam-hammer operator standing beside the machine's raised head, one hand on the lever, utterly unhurried confidence. Warm brass-and-copper key light with a bright flash of live steam behind him, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of the hammer's brass housing.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-ada-lovelace.webp,"Bust-to-waist portrait of a massive, calm steam-hammer operator standing beside the machine's raised head, one hand on the lever, utterly unhurried confidence. Warm brass-and-copper key light with a bright flash of live steam behind him, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of the hammer's brass housing.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""One stroke. That's all it ever needs."""
foreman-gudgeon,character,foundry,3:4,"Bust-to-waist, three-quarter portrait of a heavyset Foundry foreman signing a clipboard without looking at it, pen already moving to the next line, thoroughly bored expression. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a workshop floor and hanging tools.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-ada-lovelace.webp,"Bust-to-waist, three-quarter portrait of a heavyset Foundry foreman signing a clipboard without looking at it, pen already moving to the next line, thoroughly bored expression. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a workshop floor and hanging tools.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Signs off on everything. Reads none of it."""
difference-engine,character,foundry,3:4,"Bust-to-waist framing of a difference-engine apparatus itself in place of a human sitter — ranked brass number-wheels and cranks catching the light, rendered with real engineering logic, as if it were the room's most important guest. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of workshop shelving.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-ada-lovelace.webp,"Bust-to-waist framing of a difference-engine apparatus itself in place of a human sitter — ranked brass number-wheels and cranks catching the light, rendered with real engineering logic, as if it were the room's most important guest. Warm brass-and-copper key light, cool ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of workshop shelving.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","A Foundry Character card with no human figure — the machine itself is the subject, per style-bible.md §3's 'render mechanical detail with real engineering logic.' ""Computes the tables so nobody has to trust a clerk's arithmetic."""
sabotage,scheme,foundry,3:4,"A small vignette: a spanner mid-flight over a gear train, one cog already knocked loose and spinning off, the instant of the sabotage rather than its aftermath. Symbolic rather than literal. Warm brass-and-copper key light, cool ambient shadow. Confident inked contours softened under paint, faint paper-grain texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg,"A small vignette: a spanner mid-flight over a gear train, one cog already knocked loose and spinning off, the instant of the sabotage rather than its aftermath. Symbolic rather than literal. Warm brass-and-copper key light, cool ambient shadow. Confident inked contours softened under paint, faint paper-grain texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","design.md §15 (Dodgeball easter egg). ""If you can dodge a spanner, you can dodge a constable."""
party-time-excellent,headline,foundry,3:4,"Printed Victorian newspaper front page styled as a symmetrical masthead composition: a bold central woodcut-style motif of a factory whistle mid-blast with radiating steam lines, engraved-linework aesthetic as if printed rather than painted, brass-and-copper accents in the border rule lines. Faint paper-grain and foxing texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no realistic photographic scene, no painted figures — a printed graphic object, not an illustrated scene",art/reference/The_Wheatstone_Bridge_taproom.jpeg,"Printed Victorian newspaper front page styled as a symmetrical masthead composition: a bold central woodcut-style motif of a factory whistle mid-blast with radiating steam lines, engraved-linework aesthetic as if printed rather than painted, brass-and-copper accents in the border rule lines. Faint paper-grain and foxing texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no realistic photographic scene, no painted figures — a printed graphic object, not an illustrated scene

Aspect ratio 3:4.","design.md §15 (Wayne's World easter egg). ""The Foundry's whistle blew an hour early. Nobody's arguing."""
parlour-guest,character,salon,3:4,"Bust-to-waist portrait of an unremarkable, perfectly pleasant Victorian parlour guest mid-conversation, teacup in hand, comfortable and settled-in expression. Warm gaslight key light, cool verdigris-green ambient fill from drawing-room brocade. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a parlour armchair.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-miss-prudence-hollis.webp,"Bust-to-waist portrait of an unremarkable, perfectly pleasant Victorian parlour guest mid-conversation, teacup in hand, comfortable and settled-in expression. Warm gaslight key light, cool verdigris-green ambient fill from drawing-room brocade. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a parlour armchair.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","design.md §8.3, starter deck. ""Arrived with the second post, will leave with the last train."""
amateur-sleuth,character,salon,3:4,"Bust-to-waist, three-quarter portrait of an eager amateur sleuth leaning slightly forward, one finger raised mid-theory, magnifying glass held loosely in the other hand, bright and slightly overexcited expression. Warm gaslight key light, cool verdigris-green ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a cluttered study.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-miss-prudence-hollis.webp,"Bust-to-waist, three-quarter portrait of an eager amateur sleuth leaning slightly forward, one finger raised mid-theory, magnifying glass held loosely in the other hand, bright and slightly overexcited expression. Warm gaslight key light, cool verdigris-green ambient fill. Confident inked contours softened under paint, faint paper-grain texture. Background a soft blur of a cluttered study.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2

Aspect ratio 3:4.","""Has a theory. Has several theories. Would like to share them."""
bramwell,character,salon,3:4,"Close bust portrait of a tuxedo cat, chest out, mouth open mid-announcement as if mid-yowl of greeting, candid framing rather than posed. Warm gaslight key light, cool verdigris-green ambient fill behind him. Confident inked contours softened under paint, faint paper-grain texture.","no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no cute/cartoon cat style",art/reference/The_Wheatstone_Bridge_taproom.jpeg; public/art/portrait-miss-prudence-hollis.webp,"Close bust portrait of a tuxedo cat, chest out, mouth open mid-announcement as if mid-yowl of greeting, candid framing rather than posed. Warm gaslight key light, cool verdigris-green ambient fill behind him. Confident inked contours softened under paint, faint paper-grain texture.

no text, no lettering, no watermark, no signature, no logo, no photorealistic photography look, no 3D render look, no anime style, no goggles-and-corsets cosplay clichés, no modern clothing or objects (unless an explicit easter egg), no gore, no graphic violence, no distorted or extra hands/limbs, no border or frame, no vignette, no colors outside the palette in section 2, no cute/cartoon cat style

Aspect ratio 3:4.","design.md §8.2, one of the Salon's two pub cats. Style-bible.md §6: 'tuxedo cat, chest out, mouth open mid-announcement.' ""Announces himself in the doorway, then in your lap, then again in case you missed it."""
